Vernier Format 2
rad_40cm.cmbl 4/19/2024 14:10:55 .
Latest
Time	Radiation
t	Rad
min	Counts

0.01	11
0.02	8
0.03	6
0.04	4
0.05	11
0.06	12
0.07	7
0.08	2
0.09	11
0.1	9
0.11	5
0.12	7
0.13	7
0.14	10
0.15	4
0.16	7
0.17	3
0.18	9
0.19	14
0.2	5
0.21	8
0.22	10
0.23	7
0.24	5
0.25	5
0.26	9
0.27	6
0.28	6
0.29	3
0.3	8
0.31	6
0.32	10
0.33	12
0.34	9
0.35	6
0.36	8
0.37	6
0.38	4
0.39	7
0.4	7
0.41	13
0.42	5
0.43	2
0.44	6
0.45	5
0.46	6
0.47	6
0.48	9
0.49	5
0.5	6
0.51	6
0.52	5
0.53	8
0.54	8
0.55	13
0.56	6
0.57	5
0.58	6
0.59	11
0.6	4
0.61	7
0.62	8
0.63	4
0.64	8
0.65	12
0.66	13
0.67	8
0.68	7
0.69	5
0.7	5
0.71	8
0.72	7
0.73	12
0.74	3
0.75	5
0.76	6
0.77	8
0.78	8
0.79	5
0.8	5
0.81	6
0.82	6
0.83	12
0.84	6
0.85	5
0.86	9
0.87	3
0.88	10
0.89	9
0.9	7
0.91	3
0.92	4
0.93	6
0.94	9
0.95	12
0.96	9
0.97	4
0.98	4
0.99	5
1	6
