Vernier Format 2
rad_40cm.cmbl 4/19/2024 14:13:48 .
Latest
Time	Radiation
t	Rad
min	Counts

0.01	50
0.02	53
0.03	45
0.04	68
0.05	51
0.06	65
0.07	49
0.08	53
0.09	46
0.1	54
0.11	55
0.12	48
0.13	47
0.14	54
0.15	60
0.16	51
0.17	56
0.18	50
0.19	58
0.2	73
0.21	51
0.22	56
0.23	44
0.24	65
0.25	41
0.26	52
0.27	64
0.28	55
0.29	49
0.3	37
0.31	57
0.32	54
0.33	51
0.34	53
0.35	57
0.36	53
0.37	44
0.38	57
0.39	56
0.4	65
0.41	59
0.42	51
0.43	56
0.44	51
0.45	62
0.46	51
0.47	61
0.48	57
0.49	57
0.5	55
0.51	59
0.52	55
0.53	56
0.54	66
0.55	49
0.56	55
0.57	75
0.58	61
0.59	57
0.6	63
0.61	63
0.62	52
0.63	63
0.64	62
0.65	47
0.66	57
0.67	47
0.68	69
0.69	58
0.7	64
0.71	57
0.72	60
0.73	62
0.74	61
0.75	43
0.76	40
0.77	67
0.78	60
0.79	56
0.8	56
0.81	44
0.82	51
0.83	59
0.84	54
0.85	53
0.86	54
0.87	50
0.88	73
0.89	37
0.9	69
0.91	65
0.92	53
0.93	57
0.94	54
0.95	75
0.96	48
0.97	51
0.98	59
0.99	60
1	53
