Vernier Format 2
rad_40cm.cmbl 4/19/2024 14:07:59 .
Latest
Time	Radiation
t	Rad
min	Counts

0.01	1
0.02	3
0.03	3
0.04	2
0.05	1
0.06	1
0.07	3
0.08	0
0.09	5
0.1	2
0.11	4
0.12	2
0.13	0
0.14	4
0.15	1
0.16	1
0.17	2
0.18	4
0.19	5
0.2	4
0.21	0
0.22	3
0.23	2
0.24	3
0.25	0
0.26	0
0.27	3
0.28	1
0.29	0
0.3	1
0.31	2
0.32	1
0.33	3
0.34	2
0.35	5
0.36	3
0.37	1
0.38	1
0.39	2
0.4	1
0.41	4
0.42	4
0.43	0
0.44	2
0.45	5
0.46	0
0.47	6
0.48	1
0.49	3
0.5	1
0.51	5
0.52	1
0.53	1
0.54	1
0.55	1
0.56	2
0.57	2
0.58	2
0.59	2
0.6	4
0.61	4
0.62	4
0.63	3
0.64	2
0.65	0
0.66	1
0.67	2
0.68	4
0.69	1
0.7	1
0.71	2
0.72	1
0.73	1
0.74	0
0.75	4
0.76	2
0.77	0
0.78	3
0.79	1
0.8	1
0.81	2
0.82	0
0.83	2
0.84	5
0.85	3
0.86	5
0.87	0
0.88	2
0.89	0
0.9	3
0.91	0
0.92	6
0.93	3
0.94	3
0.95	2
0.96	4
0.97	0
0.98	3
0.99	2
1	2
