Vernier Format 2
rad_40cm.cmbl 4/19/2024 14:12:16 .
Latest
Time	Radiation
t	Rad
min	Counts

0.01	18
0.02	16
0.03	16
0.04	27
0.05	24
0.06	13
0.07	18
0.08	15
0.09	8
0.1	17
0.11	13
0.12	25
0.13	11
0.14	11
0.15	16
0.16	18
0.17	11
0.18	12
0.19	21
0.2	18
0.21	12
0.22	8
0.23	26
0.24	16
0.25	19
0.26	16
0.27	21
0.28	15
0.29	14
0.3	18
0.31	18
0.32	17
0.33	13
0.34	20
0.35	16
0.36	16
0.37	13
0.38	21
0.39	14
0.4	16
0.41	14
0.42	15
0.43	15
0.44	14
0.45	18
0.46	18
0.47	23
0.48	19
0.49	16
0.5	11
0.51	23
0.52	23
0.53	21
0.54	15
0.55	13
0.56	12
0.57	16
0.58	17
0.59	23
0.6	15
0.61	22
0.62	15
0.63	10
0.64	12
0.65	17
0.66	15
0.67	15
0.68	20
0.69	22
0.7	11
0.71	9
0.72	11
0.73	16
0.74	16
0.75	11
0.76	18
0.77	18
0.78	9
0.79	15
0.8	18
0.81	17
0.82	21
0.83	19
0.84	19
0.85	17
0.86	15
0.87	18
0.88	22
0.89	12
0.9	16
0.91	9
0.92	14
0.93	16
0.94	16
0.95	10
0.96	19
0.97	23
0.98	21
0.99	20
1	13
