Vernier Format 2
rad_40cm.cmbl 4/19/2024 14:09:34 .
Latest
Time	Radiation
t	Rad
min	Counts

0.01	5
0.02	2
0.03	4
0.04	1
0.05	2
0.06	2
0.07	3
0.08	4
0.09	2
0.1	3
0.11	6
0.12	4
0.13	4
0.14	4
0.15	3
0.16	2
0.17	4
0.18	6
0.19	4
0.2	4
0.21	5
0.22	3
0.23	6
0.24	4
0.25	5
0.26	1
0.27	8
0.28	6
0.29	2
0.3	3
0.31	3
0.32	2
0.33	4
0.34	7
0.35	3
0.36	5
0.37	6
0.38	2
0.39	7
0.4	4
0.41	1
0.42	3
0.43	4
0.44	1
0.45	5
0.46	3
0.47	8
0.48	4
0.49	4
0.5	4
0.51	5
0.52	2
0.53	6
0.54	3
0.55	6
0.56	9
0.57	2
0.58	3
0.59	3
0.6	5
0.61	5
0.62	2
0.63	3
0.64	4
0.65	5
0.66	2
0.67	3
0.68	2
0.69	7
0.7	5
0.71	3
0.72	6
0.73	3
0.74	7
0.75	3
0.76	3
0.77	0
0.78	5
0.79	8
0.8	8
0.81	3
0.82	2
0.83	4
0.84	3
0.85	5
0.86	2
0.87	4
0.88	2
0.89	4
0.9	5
0.91	5
0.92	5
0.93	3
0.94	2
0.95	2
0.96	2
0.97	3
0.98	3
0.99	3
1	6
